Date/Time;Location;Small;Large
10.2.2019 10:53;BG;61700;5600
10.2.2019 10:53;BG;55200;8400
10.2.2019 10:53;BG;61700;5400
10.2.2019 10:53;BG;61300;6700
10.2.2019 10:53;BG;68000;6000
10.2.2019 10:54;BG;57700;6900
10.2.2019 10:54;BG;57100;5200
10.2.2019 10:54;BG;71100;6000
10.2.2019 10:54;BG;66300;8100
10.2.2019 10:54;BG;55600;5800
10.2.2019 10:54;BG;61100;5000
10.2.2019 10:55;BG;53100;4800
10.2.2019 10:55;BG;60400;5800
10.2.2019 10:55;BG;58500;4200
10.2.2019 10:55;BG;59400;5000
10.2.2019 10:55;BG;60900;6900
10.2.2019 10:55;BG;57900;4200
10.2.2019 10:56;BG;64000;8100
10.2.2019 10:56;BG;58500;5800
10.2.2019 10:56;BG;62500;6500
10.2.2019 10:56;BG;61500;4800
10.2.2019 10:56;BG;60200;5000
10.2.2019 10:56;BG;69500;7300
10.2.2019 10:57;BG;62100;5600
10.2.2019 10:57;BG;57500;5000
10.2.2019 10:57;BG;63800;5400
10.2.2019 10:57;BG;57900;5000
10.2.2019 10:57;BG;62100;5400
10.2.2019 10:57;BG;64000;7300
10.2.2019 10:58;BG;57700;3700
10.2.2019 10:58;BG;65700;6300
10.2.2019 10:58;BG;57700;4800
10.2.2019 10:58;BG;57900;7300
10.2.2019 10:58;BG;68200;7300
10.2.2019 10:58;BG;63800;6900
10.2.2019 10:59;BG;56900;5000
10.2.2019 10:59;BG;68000;5600
10.2.2019 10:59;BG;60600;3900
10.2.2019 10:59;BG;59400;7500
10.2.2019 10:59;BG;63000;6000
10.2.2019 10:59;BG;63600;6300
10.2.2019 11:00;BG;63800;7300
10.2.2019 11:00;BG;63800;5800
10.2.2019 11:00;BG;61900;7300
10.2.2019 11:00;BG;65100;7100
10.2.2019 11:00;BG;67200;6000
10.2.2019 11:00;BG;61500;4800
10.2.2019 11:01;BG;60600;5800
10.2.2019 11:01;BG;64600;4800
10.2.2019 11:01;BG;61700;6000
10.2.2019 11:01;BG;61700;5000
10.2.2019 11:01;BG;65500;5400
10.2.2019 11:01;BG;57300;5400
10.2.2019 11:02;BG;57700;4800
10.2.2019 11:02;BG;61300;6300
10.2.2019 11:02;BG;65700;7700
10.2.2019 11:02;BG;63800;7700
10.2.2019 11:02;BG;59200;5800
10.2.2019 11:02;BG;67600;6000
10.2.2019 11:03;BG;65900;6000
10.2.2019 11:03;BG;69500;6700
10.2.2019 11:03;BG;67600;7300
10.2.2019 11:03;BG;69000;7900
10.2.2019 11:03;BG;62500;6500
10.2.2019 11:03;BG;65700;6500
10.2.2019 11:04;BG;67800;6700
10.2.2019 11:04;BG;64400;6900
10.2.2019 11:04;BG;71400;7900
10.2.2019 11:04;BG;70300;6900
10.2.2019 11:04;BG;70500;5600
10.2.2019 11:04;BG;65100;6000
10.2.2019 11:05;BG;59600;5400
10.2.2019 11:05;BG;64200;7300
10.2.2019 11:05;BG;65500;5600
10.2.2019 11:05;BG;65100;6700
10.2.2019 11:05;BG;70700;4800
10.2.2019 11:05;BG;71100;7900
10.2.2019 11:06;BG;64400;4600
10.2.2019 11:06;BG;66300;7100
10.2.2019 11:06;BG;54800;7500
10.2.2019 11:06;BG;63200;5600
10.2.2019 11:06;BG;72800;7700
10.2.2019 11:06;BG;63400;6900
10.2.2019 11:07;BG;70900;7100
10.2.2019 11:07;BG;67400;7100
10.2.2019 11:07;BG;71400;7700
10.2.2019 11:07;BG;58300;5600
10.2.2019 11:07;BG;70100;5200
10.2.2019 11:07;BG;60000;5200
10.2.2019 11:08;BG;59600;4800
10.2.2019 11:08;BG;61500;6700
10.2.2019 11:08;BG;58500;5800
10.2.2019 11:08;BG;66100;4200
10.2.2019 11:08;BG;69700;6300
10.2.2019 11:08;BG;63600;7300
10.2.2019 11:09;BG;64000;6700
10.2.2019 11:09;BG;70700;8400
10.2.2019 11:09;BG;70700;9200
10.2.2019 11:09;BG;67600;6000
10.2.2019 11:09;BG;71100;7500
10.2.2019 11:09;BG;63400;4800
10.2.2019 11:10;BG;70300;6700
10.2.2019 11:10;BG;69300;7100
10.2.2019 11:10;BG;69000;6900
10.2.2019 11:10;BG;59400;5600
10.2.2019 11:10;BG;68200;8800
10.2.2019 11:10;BG;63000;4600
10.2.2019 11:11;BG;67600;5800
10.2.2019 11:11;BG;66900;3700
10.2.2019 11:11;BG;68800;6000
10.2.2019 11:11;BG;63400;5600
10.2.2019 11:11;BG;69000;6300
10.2.2019 11:11;BG;73000;8100
10.2.2019 11:12;BG;87700;12100
10.2.2019 11:12;BG;71400;9000
10.2.2019 11:12;BG;69900;8600
10.2.2019 11:12;BG;75100;10000
10.2.2019 11:12;BG;72400;6900
10.2.2019 11:12;BG;66500;9000
10.2.2019 11:13;BG;66100;7900
10.2.2019 11:13;BG;69700;6500
10.2.2019 11:13;BG;67400;10700
10.2.2019 11:13;BG;68200;6700
10.2.2019 11:13;BG;72200;10700
10.2.2019 11:13;BG;62100;4200
10.2.2019 11:14;BG;64800;6500
10.2.2019 11:14;BG;112100;34800
10.2.2019 11:14;BG;88800;20300
10.2.2019 11:14;BG;124100;27700
10.2.2019 11:14;BG;70300;9600
10.2.2019 11:14;BG;87300;16100
10.2.2019 11:17;F;112900;7500
10.2.2019 11:17;F;111700;9200
10.2.2019 11:17;F;137900;7300
10.2.2019 11:17;F;99700;7100
10.2.2019 11:17;F;108700;6000
10.2.2019 11:17;F;131600;7300
10.2.2019 11:18;F;312400;7700
10.2.2019 11:18;F;213700;7500
10.2.2019 11:18;F;481100;9200
10.2.2019 11:18;F;412600;7900
10.2.2019 11:18;F;414300;8800
10.2.2019 11:18;F;409700;6700
10.2.2019 11:19;F;154300;10500
10.2.2019 11:19;F;167500;7900
10.2.2019 11:19;F;210000;10500
10.2.2019 11:19;F;166100;5800
10.2.2019 11:19;F;183300;10000
10.2.2019 11:19;F;204100;8100
10.2.2019 11:20;F;179700;8800
10.2.2019 11:20;F;176800;8800
10.2.2019 11:20;F;449400;9200
10.2.2019 11:20;F;435500;7700
10.2.2019 11:20;F;143600;5400
10.2.2019 11:20;F;168000;6000
10.2.2019 11:21;F;272700;7500
10.2.2019 11:21;F;423500;8400
10.2.2019 11:21;F;498100;9400
10.2.2019 11:21;F;183500;6300
10.2.2019 11:21;F;119900;8600
10.2.2019 11:21;F;109400;5200
10.2.2019 11:22;F;119000;8800
10.2.2019 11:22;F;94500;6000
10.2.2019 11:22;F;81900;5600
10.2.2019 11:22;F;350000;8400
10.2.2019 11:22;F;86500;8100
10.2.2019 11:22;F;95700;6900
10.2.2019 11:23;F;149300;7100
10.2.2019 11:23;F;111900;4200
10.2.2019 11:23;F;90300;6000
10.2.2019 11:23;F;73900;6500
