Date;Location;Time;Ref;Sen;ATN;Flow;PCB temp;Status;Battery;BC
2.10.2019;BG;12:30:00;921423;915345;0.662;91;21;0;100;6344
2.10.2019;BG;12:30:01;921480;915404;0.662;91;21;0;100;-972
2.10.2019;BG;12:30:02;921410;915342;0.661;91;21;0;100;-3084
2.10.2019;BG;12:30:03;921189;915147;0.658;91;21;0;100;-10045
2.10.2019;BG;12:30:04;920878;914859;0.656;91;21;0;100;-8580
2.10.2019;BG;12:30:05;920726;914722;0.654;91;21;0;100;-5735
2.10.2019;BG;12:30:06;920610;914592;0.656;91;21;0;100;6042
2.10.2019;BG;12:30:07;920556;914541;0.656;91;21;0;100;-1084
2.10.2019;BG;12:30:08;920327;914328;0.654;91;21;0;100;-5941
2.10.2019;BG;12:30:09;920296;914305;0.653;91;21;0;100;-3194
2.10.2019;BG;12:30:10;919890;913933;0.65;91;21;0;100;-12849
2.10.2019;BG;12:30:11;919604;913655;0.649;91;21;0;100;-2520
2.10.2019;BG;12:30:12;919280;913347;0.647;91;21;0;100;-5701
2.10.2019;BG;12:30:13;919170;913243;0.647;91;21;0;100;-2169
2.10.2019;BG;12:30:14;919018;913081;0.648;91;21;0;100;4504
2.10.2019;BG;12:30:15;918993;913065;0.647;91;21;0;100;-3625
2.10.2019;BG;12:30:16;919013;913080;0.648;92;21;0;100;1976
2.10.2019;BG;12:30:17;919096;913162;0.648;91;21;0;100;190
2.10.2019;BG;12:30:18;919189;913256;0.648;91;21;0;100;-656
2.10.2019;BG;12:30:19;919281;913337;0.649;92;21;0;100;4221
2.10.2019;BG;12:30:20;919361;913438;0.646;92;21;0;100;-8726
2.10.2019;BG;12:30:21;919294;913374;0.646;92;21;0;100;-1042
2.10.2019;BG;12:30:22;919374;913458;0.646;92;21;0;100;-1831
2.10.2019;BG;12:30:23;919286;913385;0.644;92;21;0;100;-5854
2.10.2019;BG;12:30:24;919105;913224;0.642;92;21;0;100;-7641
2.10.2019;BG;12:30:25;919120;913238;0.642;92;21;0;100;367
2.10.2019;BG;12:30:26;919177;913298;0.642;92;21;0;100;-1365
2.10.2019;BG;12:30:27;919249;913373;0.641;92;21;0;100;-1403
2.10.2019;BG;12:30:28;919312;913445;0.64;91;21;0;100;-3855
2.10.2019;BG;12:30:29;919246;913390;0.639;92;21;0;100;-4290
2.10.2019;BG;12:30:30;919420;913560;0.639;92;21;0;100;1172
2.10.2019;BG;12:30:31;919356;913506;0.638;92;21;0;100;-3890
2.10.2019;BG;12:30:32;919425;913584;0.637;92;21;0;100;-3827
2.10.2019;BG;12:30:33;919444;913622;0.635;91;21;0;100;-7838
2.10.2019;BG;12:30:34;919404;913575;0.636;92;21;0;100;2941
2.10.2019;BG;12:30:35;919471;913653;0.635;91;21;0;100;-4683
2.10.2019;BG;12:30:36;919639;913824;0.634;92;21;0;100;-1647
2.10.2019;BG;12:30:37;919558;913748;0.634;91;21;0;100;-1839
2.10.2019;BG;12:30:38;919674;913868;0.633;92;21;0;100;-1918
2.10.2019;BG;12:30:39;919695;913885;0.634;91;21;0;100;1585
2.10.2019;BG;12:30:40;919791;913978;0.634;92;21;0;100;970
2.10.2019;BG;12:30:41;919912;914110;0.633;91;21;0;100;-4820
2.10.2019;BG;12:30:42;919902;914108;0.632;92;21;0;100;-3216
2.10.2019;BG;12:30:43;919870;914081;0.631;91;21;0;100;-1966
2.10.2019;BG;12:30:44;919794;914007;0.631;91;21;0;100;-624
2.10.2019;BG;12:30:45;919694;913914;0.63;91;21;0;100;-2611
